textbox22,textbox24,financial_period_key,national_or_operator,trains_planned,trains_part_cancelled1,trains_full_cancelled,cancellation_score__number_,nr_responsible_infrastructure,nr_responsible_external_event,toc_responsible_toc_fault,toc_responsible_external_event,percent_cancelled_periodic,percent_cancelled_periodic__maa_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),Great Britain,"559,808","8,556","12,854","17,132","5,031","2,590","8,794",681,3.1,3.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),Great Britain,"535,759","8,336","10,076","14,244","3,808","2,087","7,702",610,2.7,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),Great Britain,"477,259","9,364","11,514","16,196","4,578","1,968","8,977",639,3.4,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),Great Britain,"531,849","11,787","20,365","26,259","6,575","4,244","14,208","1,054",4.9,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),Great Britain,"483,587","10,942","17,938","23,409","5,776","3,716","13,208",674,4.8,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),Great Britain,"553,643","10,364","12,550","17,732","5,045","2,750","9,130",763,3.2,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),Great Britain,"505,296","8,778","11,304","15,693","4,836","2,459","7,718",613,3.1,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),Great Britain,"520,852","11,902","15,043","20,994","5,596","3,393","11,134",804,4.0,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),Great Britain,"540,715","12,492","15,545","21,791","6,525","3,467","10,955",780,4.0,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),Great Britain,"307,328","9,280","19,924","24,564","5,767","5,815","11,880",986,8.0,3.9
