date,toc_name,nr_on_toc_external,nr_on_toc_non_track_assets,nr_on_toc_severe_weather,nr_on_toc_track,toc_on_self_fleet,toc_on_self_operations,toc_on_self_traincrew,toc_on_toc_fleet,toc_on_toc_operations,toc_on_toc_traincrew
Apr 2022 to Mar 2023 (Period 01),Avanti West Coast,6268,11319,222,4406,2355,751,3125,2489,373,1137
Apr 2022 to Mar 2023 (Period 02),Avanti West Coast,12967,4794,96,4319,2404,918,2563,2970,374,1284
Apr 2022 to Mar 2023 (Period 03),Avanti West Coast,5796,12505,255,3921,2627,2622,3681,5978,372,1328
Apr 2022 to Mar 2023 (Period 04),Avanti West Coast,8349,14311,5821,8108,5299,1197,9610,4894,275,919
Apr 2022 to Mar 2023 (Period 05),Avanti West Coast,10823,7806,1419,3014,6155,2866,9621,2433,448,1322
Apr 2022 to Mar 2023 (Period 06),Avanti West Coast,7155,2887,1032,5169,1804,1710,3962,5226,463,2187
Apr 2022 to Mar 2023 (Period 07),Avanti West Coast,7073,4488,2137,5276,2857,1364,4489,2815,523,1086
Apr 2022 to Mar 2023 (Period 08),Avanti West Coast,6621,10139,3588,5968,3968,2288,5501,8312,950,2076
Apr 2022 to Mar 2023 (Period 09),Avanti West Coast,4910,6831,1367,8726,2755,1492,5787,2468,544,2307
Apr 2022 to Mar 2023 (Period 10),Avanti West Coast,3716,7443,3096,7667,8649,2632,9393,1814,361,974
Apr 2022 to Mar 2023 (Period 11),Avanti West Coast,9528,15141,12013,7063,5844,2109,7896,4327,476,1144
Apr 2022 to Mar 2023 (Period 12),Avanti West Coast,5970,10270,3641,8196,4359,1394,5134,5620,558,1762
Apr 2022 to Mar 2023 (Period 13),Avanti West Coast,4973,8802,1246,3753,3405,1527,3063,1992,763,964
Apr 2023 to Mar 2024 (Period 01),Avanti West Coast,8155,8029,1278,6092,2660,682,2042,3792,474,1836
Apr 2023 to Mar 2024 (Period 02),Avanti West Coast,8792,7426,1477,7122,3729,803,1824,6353,504,1752
Apr 2023 to Mar 2024 (Period 03),Avanti West Coast,14350,12877,8924,4563,6440,673,1872,4279,462,2002
Apr 2023 to Mar 2024 (Period 04),Avanti West Coast,7980,13430,3126,5035,4579,993,3031,5616,770,1888
Apr 2023 to Mar 2024 (Period 05),Avanti West Coast,9743,6235,2242,2232,5411,706,3498,4534,552,2540
Apr 2023 to Mar 2024 (Period 06),Avanti West Coast,9656,9854,1449,4883,6057,1195,2029,3066,619,4488
Apr 2023 to Mar 2024 (Period 07),Avanti West Coast,6112,11019,4736,5332,7563,820,4369,3320,773,1952
Apr 2023 to Mar 2024 (Period 08),Avanti West Coast,16887,12553,6464,10564,5301,2042,5347,4667,502,1874
Apr 2023 to Mar 2024 (Period 09),Avanti West Coast,3526,17877,5351,2883,8520,1318,7675,7068,845,1857
Apr 2023 to Mar 2024 (Period 10),Avanti West Coast,12023,9529,13757,4562,4359,1465,10007,3652,425,1816
Apr 2023 to Mar 2024 (Period 11),Avanti West Coast,6256,17886,6388,3343,6533,785,3414,2926,723,1974
Apr 2023 to Mar 2024 (Period 12),Avanti West Coast,7922,13618,8046,3152,5408,711,4792,3341,589,1320
Apr 2023 to Mar 2024 (Period 13),Avanti West Coast,7026,8512,3230,2529,4480,972,5477,3074,574,989
Apr 2024 to Mar 2025 (Period 01),Avanti West Coast,7813,17895,2134,6937,4188,426,2926,2088,430,1694
Apr 2024 to Mar 2025 (Period 02),Avanti West Coast,10806,11242,3696,9481,6552,301,2603,3343,356,1104
Apr 2024 to Mar 2025 (Period 03),Avanti West Coast,12061,10717,529,7746,8823,603,2974,4160,676,2967
Apr 2024 to Mar 2025 (Period 04),Avanti West Coast,6221,14456,3522,7816,14044,537,5745,5420,342,1342
Apr 2024 to Mar 2025 (Period 05),Avanti West Coast,7849,17584,1525,5613,8784,582,4360,3492,552,1898
Apr 2024 to Mar 2025 (Period 06),Avanti West Coast,7702,14570,1929,2498,8939,1168,1999,4569,646,2334
Apr 2024 to Mar 2025 (Period 07),Avanti West Coast,13284,13449,2150,5000,6050,411,2196,4678,1075,1904
