3124 Cancellations by cause
textbox1,,,,,,,,,,,,,
"Table 3124 - Train planned and cancellations by operator and cause, periodic data, April 2019 to March 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
Textbox22,Textbox24,financial_period_key,National_or_Operator,Trains_planned,Trains_part_cancelled1,Trains_full_cancelled,Cancellation_score__number_,NR_Responsible_infrastructure,NR_responsible_external_Event,TOC_responsible_TOC_fault,TOC_responsible_external_event,Percent_cancelled_periodic,Percent_cancelled_periodic__MAA_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 01),Great Britain,"583,466","8,038","9,131","13,150","3,526","2,537","6,450",627,2.3,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 02),Great Britain,"603,746","9,174","8,590","13,177","3,263","2,414","6,728",761,2.2,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 03),Great Britain,"605,956","9,973","11,042","16,029","4,555","2,888","7,893",652,2.6,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 04),Great Britain,"610,019","11,683","12,756","18,598","6,033","3,116","8,597",769,3.0,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 05),Great Britain,"609,160","14,160","18,101","25,181","7,315","4,872","12,098",806,4.1,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 06),Great Britain,"606,893","10,304","12,319","17,471","3,630","3,114","10,105",608,2.9,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 07),Great Britain,"610,160","12,740","14,276","20,646","5,911","3,062","10,697",950,3.4,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 08),Great Britain,"611,727","14,472","17,003","24,239","6,351","5,028","11,936",903,4.0,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 09),Great Britain,"606,618","16,477","16,581","24,820","7,273","3,194","12,667","1,653",4.1,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 10),Great Britain,"529,552","12,769","18,628","25,013","4,987","4,788","14,276",908,4.7,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 11),Great Britain,"612,221","13,036","11,960","18,478","6,498","2,977","8,024",915,3.0,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 12),Great Britain,"610,406","15,618","18,237","26,046","6,732","8,835","9,336","1,042",4.3,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 13),Great Britain,"594,287","11,885","17,661","23,604","6,164","4,039","11,225","1,926",4.0,3.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 01),Great Britain,"387,616","2,229","2,411","3,526","1,081",527,"1,737",153,0.9,3.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 02),Great Britain,"376,101","3,550","2,788","4,563","1,948",737,"1,723",149,1.2,3.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 03),Great Britain,"431,962","4,043","4,568","6,590","2,823","1,302","2,163",293,1.5,3.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 04),Great Britain,"471,495","4,501","5,012","7,263","2,226","1,740","2,891",341,1.5,3.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 05),Great Britain,"494,465","6,828","8,909","12,323","3,667","3,015","5,082",512,2.5,3.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 06),Great Britain,"516,139","6,684","8,627","11,969","4,480","2,731","4,310",416,2.3,3.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 07),Great Britain,"545,018","7,291","8,081","11,727","3,875","2,604","4,479",734,2.2,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 08),Great Britain,"541,585","8,419","8,820","13,030","4,424","2,215","5,861",506,2.4,2.8
