operator,financial_period,number_of_stops,on_time_percentage
Great Britain,2022-23 Period 01,"6,129,910",74.1
,2022-23 Period 02,"5,888,788",72.8
,2022-23 Period 02,"5,201,221",71.4
,2022-23 Period 03,"5,745,578",68.3
,2022-23 Period 04,"5,219,565",66.5
,2022-23 Period 05,"6,096,185",68.2
,2022-23 Period 06,"5,543,220",68.1
,2022-23 Period 07,"5,642,141",60.7
,2022-23 Period 08,"5,969,288",60.1
,2022-23 Period 09,"3,161,590",64.2
,2022-23 Period 10,"5,873,704",65.3
,2022-23 Period 11,"6,132,696",69.1
,2022-23 Period 12,"5,687,342",70.8
,2022-23 Period 13,"6,374,920",72.4
,2023-24 Period 01,"5,921,045",71.7
,2023-24 Period 02,"5,859,452",68.1
,2023-24 Period 03,"5,908,226",69.8
,2023-24 Period 04,"5,900,672",70.5
,2023-24 Period 05,"5,920,815",69.0
,2023-24 Period 06,"5,908,944",66.2
,2023-24 Period 07,"6,221,518",62.2
,2023-24 Period 08,"5,948,995",58.3
,2023-24 Period 09,"5,596,413",64.6
,2023-24 Period 10,"6,034,038",66.7
,2023-24 Period 11,"6,202,197",68.3
,2023-24 Period 12,"6,485,385",70.4
,2023-24 Period 13,"6,018,306",71.0
,2024-25 Period 01,"6,206,990",70.3
,2024-25 Period 02,"6,463,165",69.7
,2024-25 Period 03,"6,415,398",68.0
,2024-25 Period 04,"6,353,550",67.8
,2024-25 Period 05,"6,318,206",68.6
,2024-25 Period 06,"6,308,039",65.3
,2024-25 Period 07,"6,420,009",62.5
,2024-25 Period 08,"6,373,156",57.7
,2024-25 Period 09,"5,686,408",65.6
,2024-25 Period 10,"6,403,936",65.8
,2024-25 Period 11,"6,569,875",68.1
,2024-25 Period 12,"7,012,797",70.5
,2024-25 Period 13,"6,129,910",74.1
Avanti West Coast,2022-23 Period 01,"43,548",47.6
,2022-23 Period 02,"43,548",48.6
,2022-23 Period 02,"43,548",44.9
,2022-23 Period 03,"40,252",36.4
,2022-23 Period 04,"34,624",34.3
,2022-23 Period 05,"38,309",44.1
,2022-23 Period 06,"35,396",40.9
,2022-23 Period 07,"35,525",33.3
,2022-23 Period 08,"37,186",32
,2022-23 Period 09,"24,907",32.1
,2022-23 Period 10,"44,067",35.2
,2022-23 Period 11,"50,705",43.5
,2022-23 Period 12,"43,208",49.9
,2022-23 Period 13,"47,070",51.8
,2023-24 Period 01,"46,686",46.9
,2023-24 Period 02,"44,498",39
,2023-24 Period 03,"46,122",46.5
,2023-24 Period 04,"47,700",48
,2023-24 Period 05,"44,144",47.4
,2023-24 Period 06,"45,575",40
,2023-24 Period 07,"48,404",37.3
,2023-24 Period 08,"46,578",34.6
,2023-24 Period 09,"39,783",38.9
,2023-24 Period 10,"46,764",43.2
,2023-24 Period 11,"49,875",43.3
,2023-24 Period 12,"49,659",47.8
,2023-24 Period 13,"45,135",44.5
,2024-25 Period 01,"44,717",42.2
,2024-25 Period 02,"48,318",37.9
,2024-25 Period 03,"51,644",38.5
,2024-25 Period 04,"51,853",41.4
,2024-25 Period 05,"50,365",42.8
,2024-25 Period 06,"49,706",40.9
,2024-25 Period 07,"52,002",39.2
,2024-25 Period 08,"50,936",30.9
,2024-25 Period 09,"39,656",33.6
,2024-25 Period 10,"49,745",36.6
,2024-25 Period 11,"52,134",42.2
,2024-25 Period 12,"57,873",46.1
,2024-25 Period 13,"43,548",47.6
c2c,2022-23 Period 01,"113,260",85.1
,2022-23 Period 02,"105,522",78.2
,2022-23 Period 03,"99,385",82.1
,2022-23 Period 04,"109,602",78.2
,2022-23 Period 05,"106,032",70.9
,2022-23 Period 06,"111,471",70.3
,2022-23 Period 07,"100,935",78.8
,2022-23 Period 08,"97,870",72.2
,2022-23 Period 09,"109,867",72
,2022-23 Period 10,"69,384",77.6
,2022-23 Period 11,"110,415",83.9
,2022-23 Period 12,"110,594",80.8
,2022-23 Period 13,"108,120",81.4
,2023-24 Period 01,"112,261",84.8
,2023-24 Period 02,"106,573",81
,2023-24 Period 03,"109,597",74.6
,2023-24 Period 04,"113,811",81.1
,2023-24 Period 05,"113,459",82.6
,2023-24 Period 06,"105,521",79.3
,2023-24 Period 07,"101,276",78.7
,2023-24 Period 08,"106,533",76.2
,2023-24 Period 09,"101,151",75.2
,2023-24 Period 10,"102,554",76.3
,2023-24 Period 11,"104,238",79.5
,2023-24 Period 12,"112,262",82.8
,2023-24 Period 13,"112,584",82.6
,2024-25 Period 01,"100,164",80
,2024-25 Period 02,"102,340",81.9
,2024-25 Period 03,"118,707",82.2
,2024-25 Period 04,"122,597",81.3
,2024-25 Period 05,"124,127",76.8
,2024-25 Period 06,"119,945",81.6
,2024-25 Period 07,"123,929",80.6
,2024-25 Period 08,"121,745",76.8
,2024-25 Period 09,"113,216",76.4
,2024-25 Period 10,"110,383",79.9
,2024-25 Period 11,"124,314",77.6
,2024-25 Period 12,"118,801",79.5
,2024-25 Period 13,"129,492",80
Caledonian Sleeper,2022-23 Period 01,"1,358",76.1
,2022-23 Period 02,"1,356",73
,2022-23 Period 03,"1,068",73.6
,2022-23 Period 04,"1,316",66.9
,2022-23 Period 05,"1,122",67.3
,2022-23 Period 06,"1,375",68
