time period,train operating company name,NR on TOC External,NR on TOC Non Track Assets,NR on TOC Severe Weather,NR on TOC Track,TOC on Self Fleet,TOC on Self Operations,TOC on Self Traincrew,TOC on TOC Fleet,TOC on TOC Operations,TOC on TOC Traincrew
Apr 2022 to Mar 2023 (Period 01),Avanti West Coast,6268.2,11318.8,222.3,4406.0,2354.9,751.4,3125.4,2488.9,372.6,1137.0
Apr 2022 to Mar 2023 (Period 02),Avanti West Coast,12967.4,4793.9,95.5,4319.0,2403.7,917.5,2563.4,2970.0,374.3,1283.5
Apr 2022 to Mar 2023 (Period 03),Avanti West Coast,5796.4,12504.8,255.1,3921.0,2626.8,2622.3,3680.8,5977.9,371.6,1327.5
Apr 2022 to Mar 2023 (Period 04),Avanti West Coast,8348.9,14310.8,5820.6,8108.0,5299.3,1197.0,9610.3,4893.5,274.7,919.0
Apr 2022 to Mar 2023 (Period 05),Avanti West Coast,10822.8,7806.3,1418.6,3014.0,6155.4,2866.4,9621.0,2433.0,448.0,1322.4
Apr 2022 to Mar 2023 (Period 06),Avanti West Coast,7155.2,2887.2,1032.5,5169.0,1803.7,1710.5,3962.2,5225.5,462.6,2187.0
Apr 2022 to Mar 2023 (Period 07),Avanti West Coast,7072.7,4487.7,2136.9,5276.0,2856.8,1364.1,4489.4,2815.3,523.1,1086.0
Apr 2022 to Mar 2023 (Period 08),Avanti West Coast,6621.3,10139.4,3588.1,5968.0,3967.8,2287.8,5500.8,8311.6,949.8,2076.0
Apr 2022 to Mar 2023 (Period 09),Avanti West Coast,4909.7,6830.7,1366.7,8726.0,2755.3,1492.2,5786.8,2468.5,543.8,2306.9
Apr 2022 to Mar 2023 (Period 10),Avanti West Coast,3716.0,7443.0,3095.7,7667.0,8648.9,2632.5,9393.2,1814.0,361.1,974.0
Apr 2022 to Mar 2023 (Period 11),Avanti West Coast,9528.5,15141.0,12012.8,7063.0,5844.5,2109.2,7895.7,4327.1,475.7,1144.2
Apr 2022 to Mar 2023 (Period 12),Avanti West Coast,5970.4,10270.1,3641.4,8196.0,4358.6,1393.5,5134.5,5619.5,558.3,1761.5
Apr 2022 to Mar 2023 (Period 13),Avanti West Coast,4973.3,8801.6,1245.7,3753.0,3405.4,1526.9,3063.1,1991.5,763.2,963.6
Apr 2023 to Mar 2024 (Period 01),Avanti West Coast,8155.4,8029.0,1277.7,6091.6,2660.1,682.2,2042.0,3792.5,474.0,1835.5
Apr 2023 to Mar 2024 (Period 02),Avanti West Coast,8791.6,7426.2,1477.2,7122.1,3729.2,803.1,1823.5,6353.0,503.5,1751.5
Apr 2023 to Mar 2024 (Period 03),Avanti West Coast,14350.4,12876.8,8924.1,4562.9,6440.4,672.7,1871.9,4279.0,462.5,2002.0
Apr 2023 to Mar 2024 (Period 04),Avanti West Coast,7980.4,13429.7,3125.8,5034.6,4579.0,992.8,3031.1,5615.7,770.2,1888.5
Apr 2023 to Mar 2024 (Period 05),Avanti West Coast,9742.9,6235.4,2242.1,2231.6,5411.0,706.5,3498.2,4533.5,551.5,2540.0
Apr 2023 to Mar 2024 (Period 06),Avanti West Coast,9655.7,9853.6,1449.2,4882.6,6056.8,1194.8,2029.2,3066.0,619.0,4488.5
Apr 2023 to Mar 2024 (Period 07),Avanti West Coast,6111.7,11019.2,4736.2,5332.4,7563.2,820.3,4369.0,3320.0,773.0,1951.5
Apr 2023 to Mar 2024 (Period 08),Avanti West Coast,16887.4,12553.0,6463.8,10563.5,5301.0,2041.7,5347.0,4666.7,502.0,1874.0
Apr 2023 to Mar 2024 (Period 09),Avanti West Coast,3525.9,17877.0,5350.6,2883.4,8519.7,1318.3,7675.4,7067.9,845.4,1857.4
Apr 2023 to Mar 2024 (Period 10),Avanti West Coast,12023.1,9528.7,13757.0,4562.0,4359.3,1464.6,10007.1,3652.0,425.2,1815.5
Apr 2023 to Mar 2024 (Period 11),Avanti West Coast,6256.1,17886.0,6388.5,3343.2,6532.8,784.8,3414.5,2926.1,722.9,1974.4
Apr 2023 to Mar 2024 (Period 12),Avanti West Coast,7922.0,13618.2,8045.7,3151.5,5407.5,711.1,4792.3,3341.3,589.2,1319.5
Apr 2023 to Mar 2024 (Period 13),Avanti West Coast,7026.5,8512.2,3230.4,2528.7,4479.5,972.1,5477.1,3074.1,573.9,988.9
Apr 2024 to Mar 2025 (Period 01),Avanti West Coast,7813.0,17895.0,2134.0,6937.0,4187.5,426.0,2925.5,2088.5,430.0,1693.5
Apr 2024 to Mar 2025 (Period 02),Avanti West Coast,10806.0,11242.0,3696.0,9481.0,6551.5,301.0,2603.0,3343.0,355.5,1104.5
Apr 2024 to Mar 2025 (Period 03),Avanti West Coast,12061.1,10717.0,528.9,7746.0,8823.0,603.0,2973.5,4159.5,675.5,2967.2
Apr 2024 to Mar 2025 (Period 04),Avanti West Coast,6221.3,14455.6,3522.5,7816.3,14044.5,537.3,5745.1,5420.5,341.5,1342.0
Apr 2024 to Mar 2025 (Period 05),Avanti West Coast,7849.0,17584.0,1525.3,5613.0,8783.5,581.5,4359.5,3491.5,551.6,1898.3
Apr 2024 to Mar 2025 (Period 06),Avanti West Coast,7701.6,14570.3,1928.7,2498.1,8939.0,1168.5,1999.2,4569.0,646.0,2333.5
Apr 2024 to Mar 2025 (Period 07),Avanti West Coast,13283.5,13449.1,2149.8,5000.0,6050.0,411.0,2196.5,4678.0,1074.9,1904.5
Apr 2024 to Mar 2025 (Period 08),Avanti West Coast,9614.5,12456.6,2129.5,10511.7,6751.4,1089.5,2126.0,3995.3,810.0,2018.9
Apr 2024 to Mar 2025 (Period 09),Avanti West Coast,12709.5,13302.5,14852.5,14181.5,6941.5,1319.7,3622.0,4835.5,962.0,2280.0
Apr 2024 to Mar 2025 (Period 10),Avanti West Coast,3888.2,12082.9,14263.2,8033.3,5929.0,762.5,3238.2,3852.5,1005.7,1572.0
Apr 2024 to Mar 2025 (Period 11),Avanti West Coast,17609.7,12688.8,8086.9,5782.0,11933.0,970.0,1975.0,5567.0,712.0,1463.0
Apr 2024 to Mar 2025 (Period 12),Avanti West Coast,5047.6,17746.8,4364.9,5700.6,7049.9,488.2,2856.0,3584.2,1099.4,1318.7
Apr 2024 to Mar 2025 (Period 13),Avanti West Coast,10149.0,9047.0,867.5,8446.4,6271.4,1530.0,1253.0,4063.6,425.8,1867.2
Apr 2025 to Mar 2026 (Period 01),Avanti West Coast,9740.1,11194.8,322.1,7084.3,6527.9,373.6,1710.1,3283.8,287.7,1423.9
Apr 2022 to Mar 2023 (Period 01),Caledonian Sleeper,491.0,203.0,106.0,262.0,781.0,286.0,261.0,114.0,8.0,28.0
Apr 2022 to Mar 2023 (Period 02),Caledonian Sleeper,816.0,283.0,71.0,60.0,693.5,253.5,131.0,42.0,14.0,54.0
Apr 2022 to Mar 2023 (Period 03),Caledonian Sleeper,545.0,929.0,15.0,54.0,227.5,197.0,129.0,1199.0,19.0,102.0
Apr 2022 to Mar 2023 (Period 04),Caledonian Sleeper,1456.0,390.0,88.0,27.0,632.0,281.5,227.0,336.0,25.0,19.0
Apr 2022 to Mar 2023 (Period 05),Caledonian Sleeper,74.0,261.0,253.0,24.0,261.5,321.0,94.5,124.0,36.0,58.0
Apr 2022 to Mar 2023 (Period 10),Caledonian Sleeper,72.0,405.0,779.2,106.0,1117.1,413.5,64.0,308.8,3.0,6.0
